id;hof_ejamaat_id;hof_full_name;email_address;phone_number;total_gents;total_ladies;total_kids;total_pregnants;total_decesead;zakatul_fitr;najwatusukr;khumus;silatul_imam;nazrul_maqam;last_update_tstamp;submitted_by
1;29400;Intelligent Concrete Computer Music;Human Outdoors;Grocery Unbranded;64811;23950;53117;12848;16718;41813;92784;51998;13909;91416;2020-05-04;Cross-group challenge
2;5893;Ergonomic Functionality invoice;navigate;Michigan internet solution embrace;75798;91575;48935;34333;72778;50903;32996;2915;64706;39266;2020-05-04;Configuration SSL Electronics
3;23207;Refined Intelligent;Legacy Burgs;Auto Loan Account;90567;57331;61504;79629;7923;36168;56805;42323;38879;74032;2020-05-04;channels
4;93695;functionalities Computer;Soap firewall;Iranian Rial multi-tasking;27577;60918;24632;88289;83048;20713;23320;56608;80328;89917;2020-05-05;Awesome asynchronous
5;88779;Libyan Arab Jamahiriya solid state Home;generate;Intelligent virtual;69232;59418;1726;87354;94898;43757;19100;99647;87509;25240;2020-05-04;benchmark ROI
6;71657;Web;utilize XML;copying;82755;39529;42389;14503;33159;16396;41636;6258;46329;37552;2020-05-05;parallelism
7;6538;Response Forge;back-end AI Table;Credit Card Account;2331;84032;83591;30069;46017;87025;23047;26527;40529;69082;2020-05-05;Ferry Florida
8;70940;invoice;brand;1080p COM world-class;13468;6476;44277;87003;84306;82227;96432;21190;79433;78965;2020-05-05;Texas initiatives generate
9;5484;Generic orchestrate;calculating methodology calculating;mindshare Officer Texas;54412;72289;19423;71694;25012;86589;94817;18190;53958;24845;2020-05-05;Liberian Dollar Computers
10;20539;solid state neural;Regional withdrawal;deposit Baby;64329;32376;47129;82851;94320;83968;23132;98418;54667;94591;2020-05-05;Director Personal Loan Account Rupiah
